,district,building_type,heat_source,value
5738,"Baden-Baden, Kreisfreie Stadt",38,0,0.231
5739,"Baden-Baden, Kreisfreie Stadt",9,0,0.4209
5740,"Baden-Baden, Kreisfreie Stadt",11,4,0.2252
5741,"Baden-Baden, Kreisfreie Stadt",1,4,0.3779
5742,"Baden-Baden, Kreisfreie Stadt",6,4,0.2912
5743,"Baden-Baden, Kreisfreie Stadt",38,4,0.0466
5744,"Baden-Baden, Kreisfreie Stadt",9,4,0.1362
5745,"Baden-Baden, Kreisfreie Stadt",11,2,0.3324
5746,"Baden-Baden, Kreisfreie Stadt",1,2,0.4458
5747,"Baden-Baden, Kreisfreie Stadt",6,2,0.4253
5748,"Baden-Baden, Kreisfreie Stadt",38,2,0.1236
5749,"Baden-Baden, Kreisfreie Stadt",9,2,0.1851
5750,"Baden-Baden, Kreisfreie Stadt",11,3,0.114
5751,"Baden-Baden, Kreisfreie Stadt",1,3,0.2151
5752,"Baden-Baden, Kreisfreie Stadt",6,3,0.1839
5753,"Baden-Baden, Kreisfreie Stadt",38,3,0.0217
5754,"Baden-Baden, Kreisfreie Stadt",9,3,0.0597
5755,"Baden-Baden, Kreisfreie Stadt",11,1,0.4668
5756,"Baden-Baden, Kreisfreie Stadt",1,1,0.8126
5757,"Baden-Baden, Kreisfreie Stadt",6,1,0.7094
5758,"Baden-Baden, Kreisfreie Stadt",38,1,0.1573
5759,"Baden-Baden, Kreisfreie Stadt",9,1,0.3236
5760,"Karlsruhe, Kreisfreie Stadt",100,0,0.4568
5761,"Karlsruhe, Kreisfreie Stadt",100,4,0.1445
5762,"Karlsruhe, Kreisfreie Stadt",100,2,0.2168
5763,"Karlsruhe, Kreisfreie Stadt",100,3,0.0497
5764,"Karlsruhe, Kreisfreie Stadt",100,1,0.3524
5765,"Karlsruhe, Kreisfreie Stadt",11,0,0.5608
5766,"Karlsruhe, Kreisfreie Stadt",38,0,0.2142
5767,"Karlsruhe, Kreisfreie Stadt",1,0,0.8125
5768,"Karlsruhe, Kreisfreie Stadt",9,0,0.3321
5769,"Karlsruhe, Kreisfreie Stadt",6,0,0.7231
5770,"Karlsruhe, Kreisfreie Stadt",11,4,0.1571
